,role,skill,job_count,role_job_count,skill_demand_pct,requirement_level
1083,Application Developer,asp.net,1,18,5.555555555555555,Supporting
1084,Application Developer,time management,1,18,5.555555555555555,Supporting
1085,Application Developer,react native,1,18,5.555555555555555,Supporting
1086,Application Developer,react,1,18,5.555555555555555,Supporting
1087,Application Developer,salesforce,1,18,5.555555555555555,Supporting
1088,Application Developer,tableau,1,18,5.555555555555555,Supporting
1089,Application Developer,scrum,1,18,5.555555555555555,Supporting
1090,Application Developer,swift,1,18,5.555555555555555,Supporting
1091,Application Developer,machine learning,1,18,5.555555555555555,Supporting
1092,Application Developer,git,1,18,5.555555555555555,Supporting
1093,Application Developer,problem solving,1,18,5.555555555555555,Supporting
1094,Application Developer,php,1,18,5.555555555555555,Supporting
1095,Application Developer,critical thinking,1,18,5.555555555555555,Supporting
1096,Application Developer,power bi,1,18,5.555555555555555,Supporting
1097,Application Developer,graphql,1,18,5.555555555555555,Supporting
1098,Application Developer,postman,1,18,5.555555555555555,Supporting
1099,Application Developer,github,1,18,5.555555555555555,Supporting
1100,Application Developer,heroku,1,18,5.555555555555555,Supporting
1101,Application Developer,less,1,18,5.555555555555555,Supporting
1102,Application Developer,ci/cd,1,18,5.555555555555555,Supporting
1103,Application Developer,postgresql,1,18,5.555555555555555,Supporting
1175,Application Engineer,communication,13,25,52.0,Core
1176,Application Engineer,leadership,11,25,44.0,Common
1177,Application Engineer,problem solving,10,25,40.0,Common
1178,Application Engineer,excel,4,25,16.0,Supporting
1179,Application Engineer,decision making,3,25,12.0,Supporting
1180,Application Engineer,presentation skills,3,25,12.0,Supporting
1181,Application Engineer,windows,2,25,8.0,Supporting
1182,Application Engineer,time management,2,25,8.0,Supporting
1183,Application Engineer,oracle,2,25,8.0,Supporting
1184,Application Engineer,system design,1,25,4.0,Rare
1185,Application Engineer,visual basic,1,25,4.0,Rare
1186,Application Engineer,power bi,1,25,4.0,Rare
1187,Application Engineer,assembly,1,25,4.0,Rare
1188,Application Engineer,sql,1,25,4.0,Rare
1189,Application Engineer,salesforce,1,25,4.0,Rare
1190,Application Engineer,3d modeling,1,25,4.0,Rare
1355,Artificial Intelligence Engineer,python,7,9,77.77777777777779,Core
1356,Artificial Intelligence Engineer,machine learning,6,9,66.66666666666666,Core
1357,Artificial Intelligence Engineer,natural language processing,5,9,55.55555555555556,Core
1358,Artificial Intelligence Engineer,tensorflow,5,9,55.55555555555556,Core
1359,Artificial Intelligence Engineer,communication,4,9,44.44444444444444,Common
1360,Artificial Intelligence Engineer,collaboration,4,9,44.44444444444444,Common
1361,Artificial Intelligence Engineer,artificial intelligence,4,9,44.44444444444444,Common
1362,Artificial Intelligence Engineer,pytorch,4,9,44.44444444444444,Common
1363,Artificial Intelligence Engineer,git,3,9,33.33333333333333,Common
1364,Artificial Intelligence Engineer,ci/cd,3,9,33.33333333333333,Common
1365,Artificial Intelligence Engineer,java,3,9,33.33333333333333,Common
1366,Artificial Intelligence Engineer,c,3,9,33.33333333333333,Common
1367,Artificial Intelligence Engineer,computer vision,3,9,33.33333333333333,Common
1368,Artificial Intelligence Engineer,teamwork,2,9,22.22222222222222,Common
1369,Artificial Intelligence Engineer,databricks,2,9,22.22222222222222,Common
1370,Artificial Intelligence Engineer,data pipelines,2,9,22.22222222222222,Common
1371,Artificial Intelligence Engineer,scala,2,9,22.22222222222222,Common
1372,Artificial Intelligence Engineer,agile,2,9,22.22222222222222,Common
1373,Artificial Intelligence Engineer,network security,2,9,22.22222222222222,Common
1374,Artificial Intelligence Engineer,sql,2,9,22.22222222222222,Common
1375,Artificial Intelligence Engineer,r,2,9,22.22222222222222,Common
1376,Artificial Intelligence Engineer,scikit-learn,2,9,22.22222222222222,Common
1377,Artificial Intelligence Engineer,model deployment,2,9,22.22222222222222,Common
1378,Artificial Intelligence Engineer,javascript,1,9,11.11111111111111,Supporting
1379,Artificial Intelligence Engineer,terraform,1,9,11.11111111111111,Supporting
1380,Artificial Intelligence Engineer,bash,1,9,11.11111111111111,Supporting
1381,Artificial Intelligence Engineer,postgresql,1,9,11.11111111111111,Supporting
1382,Artificial Intelligence Engineer,snowflake,1,9,11.11111111111111,Supporting
1383,Artificial Intelligence Engineer,flask,1,9,11.11111111111111,Supporting
1384,Artificial Intelligence Engineer,object-oriented programming,1,9,11.11111111111111,Supporting
1385,Artificial Intelligence Engineer,mongodb,1,9,11.11111111111111,Supporting
1386,Artificial Intelligence Engineer,gitlab,1,9,11.11111111111111,Supporting
1387,Artificial Intelligence Engineer,redis,1,9,11.11111111111111,Supporting
1388,Artificial Intelligence Engineer,kubernetes,1,9,11.11111111111111,Supporting
1389,Artificial Intelligence Engineer,powershell,1,9,11.11111111111111,Supporting
1390,Artificial Intelligence Engineer,gitlab ci/cd,1,9,11.11111111111111,Supporting
1391,Artificial Intelligence Engineer,django,1,9,11.11111111111111,Supporting
1392,Artificial Intelligence Engineer,docker,1,9,11.11111111111111,Supporting
1393,Artificial Intelligence Engineer,adaptability,1,9,11.11111111111111,Supporting
1394,Artificial Intelligence Engineer,time management,1,9,11.11111111111111,Supporting
1395,Artificial Intelligence Engineer,node.js,1,9,11.11111111111111,Supporting
1396,Artificial Intelligence Engineer,react,1,9,11.11111111111111,Supporting
1397,Artificial Intelligence Engineer,firebase,1,9,11.11111111111111,Supporting
1398,Artificial Intelligence Engineer,leadership,1,9,11.11111111111111,Supporting
1661,Automation Engineer,communication,18,30,60.0,Core
1662,Automation Engineer,python,9,30,30.0,Common
1663,Automation Engineer,assembly,7,30,23.333333333333332,Common
1664,Automation Engineer,leadership,6,30,20.0,Common
1665,Automation Engineer,excel,6,30,20.0,Common
1666,Automation Engineer,ansible,5,30,16.666666666666664,Supporting
1667,Automation Engineer,sql,5,30,16.666666666666664,Supporting
1668,Automation Engineer,windows,4,30,13.333333333333334,Supporting
1669,Automation Engineer,ci/cd,4,30,13.333333333333334,Supporting
1670,Automation Engineer,problem solving,4,30,13.333333333333334,Supporting
1671,Automation Engineer,bash,4,30,13.333333333333334,Supporting
1672,Automation Engineer,powershell,4,30,13.333333333333334,Supporting
1673,Automation Engineer,critical thinking,4,30,13.333333333333334,Supporting
1674,Automation Engineer,linux,3,30,10.0,Supporting
1675,Automation Engineer,c,3,30,10.0,Supporting
1676,Automation Engineer,puppet,3,30,10.0,Supporting
1677,Automation Engineer,visual basic,3,30,10.0,Supporting
1678,Automation Engineer,java,3,30,10.0,Supporting
1679,Automation Engineer,system design,2,30,6.666666666666667,Supporting
1680,Automation Engineer,infrastructure as code,2,30,6.666666666666667,Supporting
1681,Automation Engineer,jenkins,2,30,6.666666666666667,Supporting
1682,Automation Engineer,teamwork,2,30,6.666666666666667,Supporting
1683,Automation Engineer,selenium,2,30,6.666666666666667,Supporting
1684,Automation Engineer,chef,2,30,6.666666666666667,Supporting
1685,Automation Engineer,git,2,30,6.666666666666667,Supporting
1686,Automation Engineer,javascript,1,30,3.3333333333333335,Rare
1687,Automation Engineer,ruby,1,30,3.3333333333333335,Rare
1688,Automation Engineer,github,1,30,3.3333333333333335,Rare
1689,Automation Engineer,tcp/ip,1,30,3.3333333333333335,Rare
1690,Automation Engineer,perl,1,30,3.3333333333333335,Rare
1691,Automation Engineer,terraform,1,30,3.3333333333333335,Rare
1692,Automation Engineer,gitlab,1,30,3.3333333333333335,Rare
1693,Automation Engineer,manual testing,1,30,3.3333333333333335,Rare
1694,Automation Engineer,cypress,1,30,3.3333333333333335,Rare
1695,Automation Engineer,collaboration,1,30,3.3333333333333335,Rare
1696,Automation Engineer,postman,1,30,3.3333333333333335,Rare
1697,Automation Engineer,bitbucket,1,30,3.3333333333333335,Rare
1698,Automation Engineer,kafka,1,30,3.3333333333333335,Rare
1699,Automation Engineer,less,1,30,3.3333333333333335,Rare
1700,Automation Engineer,artificial intelligence,1,30,3.3333333333333335,Rare
1701,Automation Engineer,unix,1,30,3.3333333333333335,Rare
1702,Automation Engineer,docker,1,30,3.3333333333333335,Rare
1703,Automation Engineer,kubernetes,1,30,3.3333333333333335,Rare
1704,Automation Engineer,conflict resolution,1,30,3.3333333333333335,Rare
1705,Automation Engineer,go,1,30,3.3333333333333335,Rare
1706,Automation Engineer,mentoring,1,30,3.3333333333333335,Rare
1796,Azure Cloud Engineer,powershell,5,9,55.55555555555556,Core
1797,Azure Cloud Engineer,windows,4,9,44.44444444444444,Common
1798,Azure Cloud Engineer,communication,4,9,44.44444444444444,Common
1799,Azure Cloud Engineer,terraform,3,9,33.33333333333333,Common
1800,Azure Cloud Engineer,python,2,9,22.22222222222222,Common
1801,Azure Cloud Engineer,linux,2,9,22.22222222222222,Common
1802,Azure Cloud Engineer,firewalls,2,9,22.22222222222222,Common
1803,Azure Cloud Engineer,dns,2,9,22.22222222222222,Common
1804,Azure Cloud Engineer,sql,2,9,22.22222222222222,Common
1805,Azure Cloud Engineer,infrastructure as code,2,9,22.22222222222222,Common
1806,Azure Cloud Engineer,microsoft azure,2,9,22.22222222222222,Common
1807,Azure Cloud Engineer,git,2,9,22.22222222222222,Common
1808,Azure Cloud Engineer,tcp/ip,1,9,11.11111111111111,Supporting
1809,Azure Cloud Engineer,leadership,1,9,11.11111111111111,Supporting
1810,Azure Cloud Engineer,agile,1,9,11.11111111111111,Supporting
1811,Azure Cloud Engineer,oracle,1,9,11.11111111111111,Supporting
1812,Azure Cloud Engineer,sap,1,9,11.11111111111111,Supporting
1813,Azure Cloud Engineer,ansible,1,9,11.11111111111111,Supporting
1814,Azure Cloud Engineer,puppet,1,9,11.11111111111111,Supporting
1815,Azure Cloud Engineer,chef,1,9,11.11111111111111,Supporting
1816,Azure Cloud Engineer,bash,1,9,11.11111111111111,Supporting
1817,Azure Cloud Engineer,collaboration,1,9,11.11111111111111,Supporting
1818,Azure Cloud Engineer,vpn,1,9,11.11111111111111,Supporting
1819,Azure Cloud Engineer,jenkins,1,9,11.11111111111111,Supporting
1820,Azure Cloud Engineer,docker,1,9,11.11111111111111,Supporting
1821,Azure Cloud Engineer,ci/cd,1,9,11.11111111111111,Supporting
1822,Azure Cloud Engineer,kubernetes,1,9,11.11111111111111,Supporting
1823,Azure Cloud Engineer,problem solving,1,9,11.11111111111111,Supporting
1824,Azure Cloud Engineer,etl,1,9,11.11111111111111,Supporting
1836,Azure Data Architect,data pipelines,5,7,71.42857142857143,Core
1837,Azure Data Architect,python,5,7,71.42857142857143,Core
1838,Azure Data Architect,sql,5,7,71.42857142857143,Core
1839,Azure Data Architect,etl,5,7,71.42857142857143,Core
1840,Azure Data Architect,mentoring,5,7,71.42857142857143,Core
1841,Azure Data Architect,communication,4,7,57.14285714285714,Core
1842,Azure Data Architect,data warehousing,4,7,57.14285714285714,Core
1843,Azure Data Architect,databricks,3,7,42.857142857142854,Common
1844,Azure Data Architect,object-oriented programming,2,7,28.57142857142857,Common
1845,Azure Data Architect,postgresql,2,7,28.57142857142857,Common
1846,Azure Data Architect,airflow,1,7,14.285714285714285,Supporting
1847,Azure Data Architect,hive,1,7,14.285714285714285,Supporting
1848,Azure Data Architect,apache,1,7,14.285714285714285,Supporting
1849,Azure Data Architect,hadoop,1,7,14.285714285714285,Supporting
1850,Azure Data Architect,apache spark,1,7,14.285714285714285,Supporting
1851,Azure Data Architect,problem solving,1,7,14.285714285714285,Supporting
1852,Azure Data Architect,collaboration,1,7,14.285714285714285,Supporting
1860,Azure Data Engineer,python,7,7,100.0,Core
1861,Azure Data Engineer,sql,6,7,85.71428571428571,Core
1862,Azure Data Engineer,databricks,5,7,71.42857142857143,Core
1863,Azure Data Engineer,data pipelines,4,7,57.14285714285714,Core
1864,Azure Data Engineer,etl,3,7,42.857142857142854,Common
1865,Azure Data Engineer,communication,2,7,28.57142857142857,Common
1866,Azure Data Engineer,data warehousing,2,7,28.57142857142857,Common
1867,Azure Data Engineer,scala,2,7,28.57142857142857,Common
1868,Azure Data Engineer,machine learning,2,7,28.57142857142857,Common
1869,Azure Data Engineer,collaboration,1,7,14.285714285714285,Supporting
1870,Azure Data Engineer,snowflake,1,7,14.285714285714285,Supporting
1871,Azure Data Engineer,graphql,1,7,14.285714285714285,Supporting
1872,Azure Data Engineer,sap,1,7,14.285714285714285,Supporting
1873,Azure Data Engineer,iot,1,7,14.285714285714285,Supporting
1874,Azure Data Engineer,mlops,1,7,14.285714285714285,Supporting
1875,Azure Data Engineer,ci/cd,1,7,14.285714285714285,Supporting
1876,Azure Data Engineer,leadership,1,7,14.285714285714285,Supporting
1877,Azure Data Engineer,sql server reporting services,1,7,14.285714285714285,Supporting
1878,Azure Data Engineer,dbt,1,7,14.285714285714285,Supporting
1879,Azure Data Engineer,java,1,7,14.285714285714285,Supporting
1903,Azure DevOps Engineer,ci/cd,7,10,70.0,Core
1904,Azure DevOps Engineer,powershell,5,10,50.0,Core
1905,Azure DevOps Engineer,communication,5,10,50.0,Core
1906,Azure DevOps Engineer,infrastructure as code,5,10,50.0,Core
1907,Azure DevOps Engineer,agile,5,10,50.0,Core
1908,Azure DevOps Engineer,kubernetes,4,10,40.0,Common
1909,Azure DevOps Engineer,linux,4,10,40.0,Common
1910,Azure DevOps Engineer,javascript,4,10,40.0,Common
1911,Azure DevOps Engineer,git,4,10,40.0,Common
1912,Azure DevOps Engineer,collaboration,3,10,30.0,Common
1913,Azure DevOps Engineer,windows,3,10,30.0,Common
1914,Azure DevOps Engineer,java,3,10,30.0,Common
1915,Azure DevOps Engineer,angular,3,10,30.0,Common
1916,Azure DevOps Engineer,docker,3,10,30.0,Common
1917,Azure DevOps Engineer,github,2,10,20.0,Common
1918,Azure DevOps Engineer,terraform,2,10,20.0,Common
1919,Azure DevOps Engineer,jenkins,2,10,20.0,Common
1920,Azure DevOps Engineer,microservices,2,10,20.0,Common
1921,Azure DevOps Engineer,node.js,2,10,20.0,Common
1922,Azure DevOps Engineer,microsoft azure,2,10,20.0,Common
1923,Azure DevOps Engineer,time management,2,10,20.0,Common
1924,Azure DevOps Engineer,python,1,10,10.0,Supporting
1925,Azure DevOps Engineer,mentoring,1,10,10.0,Supporting
1926,Azure DevOps Engineer,scrum,1,10,10.0,Supporting
1927,Azure DevOps Engineer,sql,1,10,10.0,Supporting
1928,Azure DevOps Engineer,teamwork,1,10,10.0,Supporting
1929,Azure DevOps Engineer,leadership,1,10,10.0,Supporting
1930,Azure DevOps Engineer,risk management,1,10,10.0,Supporting
1931,Azure DevOps Engineer,mongodb,1,10,10.0,Supporting
1932,Azure DevOps Engineer,gitlab ci/cd,1,10,10.0,Supporting
1933,Azure DevOps Engineer,gitlab,1,10,10.0,Supporting
1934,Azure DevOps Engineer,go,1,10,10.0,Supporting
1935,Azure DevOps Engineer,network security,1,10,10.0,Supporting
1936,Azure DevOps Engineer,dns,1,10,10.0,Supporting
1937,Azure DevOps Engineer,c,1,10,10.0,Supporting
1938,Azure DevOps Engineer,ansible,1,10,10.0,Supporting
1939,Azure DevOps Engineer,bitbucket,1,10,10.0,Supporting
1940,Azure DevOps Engineer,grafana,1,10,10.0,Supporting
1941,Azure DevOps Engineer,react,1,10,10.0,Supporting
1942,Azure DevOps Engineer,bash,1,10,10.0,Supporting
2032,BI Data Engineer,python,5,5,100.0,Core
2033,BI Data Engineer,sql,5,5,100.0,Core
2034,BI Data Engineer,power bi,5,5,100.0,Core
2035,BI Data Engineer,git,4,5,80.0,Core
2036,BI Data Engineer,amazon web services,4,5,80.0,Core
2037,BI Data Engineer,jira,4,5,80.0,Core
2038,BI Data Engineer,unity,4,5,80.0,Core
2039,BI Data Engineer,oracle,1,5,20.0,Common
2040,BI Data Engineer,communication,1,5,20.0,Common
2041,BI Data Engineer,databricks,1,5,20.0,Common
2042,BI Data Engineer,salesforce,1,5,20.0,Common
2043,BI Data Engineer,etl,1,5,20.0,Common
2071,Back End Developer,python,38,52,73.07692307692307,Core
2072,Back End Developer,c,37,52,71.15384615384616,Core
2073,Back End Developer,sql,37,52,71.15384615384616,Core
2074,Back End Developer,javascript,35,52,67.3076923076923,Core
2075,Back End Developer,html,33,52,63.46153846153846,Core
2076,Back End Developer,java,12,52,23.076923076923077,Common
2077,Back End Developer,spring boot,7,52,13.461538461538462,Supporting
2078,Back End Developer,object-oriented programming,7,52,13.461538461538462,Supporting
2079,Back End Developer,agile,6,52,11.538461538461538,Supporting
2080,Back End Developer,microservices,6,52,11.538461538461538,Supporting
2081,Back End Developer,microservices architecture,6,52,11.538461538461538,Supporting
2082,Back End Developer,kotlin,6,52,11.538461538461538,Supporting
2083,Back End Developer,amazon web services,5,52,9.615384615384617,Supporting
2084,Back End Developer,docker,5,52,9.615384615384617,Supporting
2085,Back End Developer,communication,4,52,7.6923076923076925,Supporting
2086,Back End Developer,git,4,52,7.6923076923076925,Supporting
2087,Back End Developer,scrum,3,52,5.769230769230769,Supporting
2088,Back End Developer,github,3,52,5.769230769230769,Supporting
2089,Back End Developer,collaboration,3,52,5.769230769230769,Supporting
2090,Back End Developer,ci/cd,3,52,5.769230769230769,Supporting
2091,Back End Developer,jenkins,2,52,3.8461538461538463,Rare
2092,Back End Developer,linux,2,52,3.8461538461538463,Rare
2093,Back End Developer,react,2,52,3.8461538461538463,Rare
2094,Back End Developer,redis,2,52,3.8461538461538463,Rare
2095,Back End Developer,unit testing,2,52,3.8461538461538463,Rare
2096,Back End Developer,postgresql,2,52,3.8461538461538463,Rare
2097,Back End Developer,typescript,2,52,3.8461538461538463,Rare
2098,Back End Developer,kubernetes,2,52,3.8461538461538463,Rare
2099,Back End Developer,flask,2,52,3.8461538461538463,Rare
2100,Back End Developer,encryption,1,52,1.9230769230769231,Rare
2101,Back End Developer,iot,1,52,1.9230769230769231,Rare
2102,Back End Developer,angular,1,52,1.9230769230769231,Rare
2103,Back End Developer,system design,1,52,1.9230769230769231,Rare
2104,Back End Developer,data structures and algorithms,1,52,1.9230769230769231,Rare
2105,Back End Developer,node.js,1,52,1.9230769230769231,Rare
2106,Back End Developer,risk management,1,52,1.9230769230769231,Rare
2107,Back End Developer,shell scripting,1,52,1.9230769230769231,Rare
2108,Back End Developer,design patterns,1,52,1.9230769230769231,Rare
2109,Back End Developer,graphql,1,52,1.9230769230769231,Rare
2110,Back End Developer,kafka,1,52,1.9230769230769231,Rare
2111,Back End Developer,scala,1,52,1.9230769230769231,Rare
2112,Back End Developer,bigquery,1,52,1.9230769230769231,Rare
2113,Back End Developer,grafana,1,52,1.9230769230769231,Rare
2114,Back End Developer,apache,1,52,1.9230769230769231,Rare
2115,Back End Developer,django,1,52,1.9230769230769231,Rare
2116,Back End Developer,machine learning,1,52,1.9230769230769231,Rare
2117,Back End Developer,data pipelines,1,52,1.9230769230769231,Rare
2118,Back End Developer,mlops,1,52,1.9230769230769231,Rare
2119,Back End Developer,fastapi,1,52,1.9230769230769231,Rare
2120,Back End Developer,go,1,52,1.9230769230769231,Rare
2121,Back End Developer,jira,1,52,1.9230769230769231,Rare
2122,Back End Developer,laravel,1,52,1.9230769230769231,Rare
2123,Back End Developer,macos,1,52,1.9230769230769231,Rare
2124,Back End Developer,windows,1,52,1.9230769230769231,Rare
2125,Back End Developer,php,1,52,1.9230769230769231,Rare
2126,Back End Developer,mysql,1,52,1.9230769230769231,Rare
2127,Back End Developer,c#,1,52,1.9230769230769231,Rare
2128,Back End Developer,etl,1,52,1.9230769230769231,Rare
2348,Business Data Analyst,sql,9,10,90.0,Core
2349,Business Data Analyst,tableau,5,10,50.0,Core
2350,Business Data Analyst,r,5,10,50.0,Core
2351,Business Data Analyst,data visualization,5,10,50.0,Core
2352,Business Data Analyst,communication,4,10,40.0,Common
2353,Business Data Analyst,python,4,10,40.0,Common
2354,Business Data Analyst,excel,4,10,40.0,Common
2355,Business Data Analyst,data pipelines,2,10,20.0,Common
2356,Business Data Analyst,power bi,2,10,20.0,Common
2357,Business Data Analyst,statistics,1,10,10.0,Supporting
2358,Business Data Analyst,collaboration,1,10,10.0,Supporting
2359,Business Data Analyst,machine learning,1,10,10.0,Supporting
2360,Business Data Analyst,problem solving,1,10,10.0,Supporting
2361,Business Data Analyst,presentation skills,1,10,10.0,Supporting
2362,Business Data Analyst,leadership,1,10,10.0,Supporting
2363,Business Data Analyst,teamwork,1,10,10.0,Supporting
2364,Business Data Analyst,critical thinking,1,10,10.0,Supporting
2365,Business Data Analyst,decision making,1,10,10.0,Supporting
2366,Business Data Analyst,databricks,1,10,10.0,Supporting
2422,Business Intelligence Analyst,sql,10,13,76.92307692307693,Core
2423,Business Intelligence Analyst,communication,8,13,61.53846153846154,Core
2424,Business Intelligence Analyst,power bi,7,13,53.84615384615385,Core
2425,Business Intelligence Analyst,python,6,13,46.15384615384615,Common
2426,Business Intelligence Analyst,statistics,5,13,38.46153846153847,Common
2427,Business Intelligence Analyst,excel,5,13,38.46153846153847,Common
2428,Business Intelligence Analyst,etl,4,13,30.76923076923077,Common
2429,Business Intelligence Analyst,tableau,4,13,30.76923076923077,Common
2430,Business Intelligence Analyst,collaboration,3,13,23.076923076923077,Common
2431,Business Intelligence Analyst,r,3,13,23.076923076923077,Common
2432,Business Intelligence Analyst,data visualization,3,13,23.076923076923077,Common
2433,Business Intelligence Analyst,decision making,2,13,15.384615384615385,Supporting
2434,Business Intelligence Analyst,machine learning,2,13,15.384615384615385,Supporting
2435,Business Intelligence Analyst,data pipelines,2,13,15.384615384615385,Supporting
2436,Business Intelligence Analyst,amazon web services,2,13,15.384615384615385,Supporting
2437,Business Intelligence Analyst,go,2,13,15.384615384615385,Supporting
2438,Business Intelligence Analyst,oracle,2,13,15.384615384615385,Supporting
2439,Business Intelligence Analyst,leadership,2,13,15.384615384615385,Supporting
2440,Business Intelligence Analyst,databricks,1,13,7.6923076923076925,Supporting
2441,Business Intelligence Analyst,apache,1,13,7.6923076923076925,Supporting
2442,Business Intelligence Analyst,scala,1,13,7.6923076923076925,Supporting
2443,Business Intelligence Analyst,apache spark,1,13,7.6923076923076925,Supporting
2444,Business Intelligence Analyst,javascript,1,13,7.6923076923076925,Supporting
2445,Business Intelligence Analyst,agile,1,13,7.6923076923076925,Supporting
2446,Business Intelligence Analyst,dynamodb,1,13,7.6923076923076925,Supporting
2447,Business Intelligence Analyst,problem solving,1,13,7.6923076923076925,Supporting
2448,Business Intelligence Analyst,matlab,1,13,7.6923076923076925,Supporting
2449,Business Intelligence Analyst,salesforce,1,13,7.6923076923076925,Supporting
2450,Business Intelligence Analyst,data warehousing,1,13,7.6923076923076925,Supporting
2476,Business Intelligence Consultant,sql,4,5,80.0,Core
2477,Business Intelligence Consultant,power bi,4,5,80.0,Core
2478,Business Intelligence Consultant,communication,3,5,60.0,Core
2479,Business Intelligence Consultant,etl,3,5,60.0,Core
2480,Business Intelligence Consultant,agile,2,5,40.0,Common
2481,Business Intelligence Consultant,excel,1,5,20.0,Common
2482,Business Intelligence Consultant,data visualization,1,5,20.0,Common
2483,Business Intelligence Consultant,tableau,1,5,20.0,Common
2484,Business Intelligence Consultant,microsoft azure,1,5,20.0,Common
2493,Business Intelligence Developer,sql,13,14,92.85714285714286,Core
2494,Business Intelligence Developer,power bi,9,14,64.28571428571429,Core
2495,Business Intelligence Developer,etl,8,14,57.14285714285714,Core
2496,Business Intelligence Developer,tableau,6,14,42.857142857142854,Common
2497,Business Intelligence Developer,data visualization,5,14,35.714285714285715,Common
2498,Business Intelligence Developer,communication,5,14,35.714285714285715,Common
2499,Business Intelligence Developer,python,4,14,28.57142857142857,Common
2500,Business Intelligence Developer,data warehousing,3,14,21.428571428571427,Common
2501,Business Intelligence Developer,snowflake,3,14,21.428571428571427,Common
2502,Business Intelligence Developer,agile,3,14,21.428571428571427,Common
2503,Business Intelligence Developer,r,2,14,14.285714285714285,Supporting
2504,Business Intelligence Developer,collaboration,2,14,14.285714285714285,Supporting
2505,Business Intelligence Developer,excel,2,14,14.285714285714285,Supporting
2506,Business Intelligence Developer,leadership,2,14,14.285714285714285,Supporting
2507,Business Intelligence Developer,oracle,2,14,14.285714285714285,Supporting
2508,Business Intelligence Developer,javascript,2,14,14.285714285714285,Supporting
2509,Business Intelligence Developer,git,2,14,14.285714285714285,Supporting
2510,Business Intelligence Developer,looker,1,14,7.142857142857142,Supporting
2511,Business Intelligence Developer,airflow,1,14,7.142857142857142,Supporting
2512,Business Intelligence Developer,bigquery,1,14,7.142857142857142,Supporting
2513,Business Intelligence Developer,dbt,1,14,7.142857142857142,Supporting
2514,Business Intelligence Developer,time management,1,14,7.142857142857142,Supporting
2515,Business Intelligence Developer,jenkins,1,14,7.142857142857142,Supporting
